Date,AAPL,GLD,GOOGL,JNJ,JPM,MSFT,NVDA,PG,QQQ,SPY,TLT,TSLA,VNQ,WMT,XOM
2018-01-02,40.30418014526367,125.1500015258789,53.22063064575195,110.76417541503906,85.90129089355469,78.870361328125,4.928265571594238,72.28071594238281,150.22215270996094,236.56211853027344,99.09388732910156,21.368667602539062,60.170982360839844,28.80023193359375,58.58039855957031
2018-01-03,40.29715347290039,124.81999969482422,54.12863540649414,111.822265625,85.98880767822266,79.23741912841797,5.252613544464111,72.1930160522461,151.6818389892578,238.0584716796875,99.56770324707031,21.149999618530273,59.99631118774414,29.05146598815918,59.73094940185547
2018-01-04,40.48432159423828,125.45999908447266,54.33888626098633,111.81430053710938,87.22066497802734,79.93482971191406,5.280302047729492,72.70332336425781,151.9471893310547,239.0618133544922,99.55193328857422,20.974666595458984,58.96275329589844,29.077747344970703,59.81361770629883
2018-01-05,40.945274353027344,125.33000183105469,55.05943298339844,112.73717498779297,86.66071319580078,80.92583465576172,5.325050354003906,72.75115203857422,153.47323608398438,240.6549530029297,99.26763916015625,21.10533332824707,58.99188995361328,29.250102996826172,59.765380859375
2018-01-08,40.79318618774414,125.30999755859375,55.25382614135742,112.88037109375,86.7887191772461,81.00843811035156,5.4882121086120605,73.13386535644531,154.07034301757812,241.09503173828125,99.20442962646484,22.42733383178711,59.297569274902344,29.68243408203125,60.034088134765625
2018-01-09,40.78849411010742,124.7300033569336,55.183406829833984,114.67033386230469,87.2286605834961,80.95338439941406,5.486730098724365,72.59965515136719,154.079833984375,241.6407012939453,97.87781524658203,22.246000289916992,58.53334045410156,29.3260498046875,59.77916717529297
2018-01-10,40.779136657714844,125.02999877929688,55.05199432373047,114.53510284423828,88.18852233886719,80.58631896972656,5.529744625091553,72.1371841430664,153.71966552734375,241.27101135253906,97.7594223022461,22.31999969482422,57.878273010253906,29.11572265625,59.303802490234375
2018-01-11,41.010772705078125,125.44000244140625,55.14671325683594,115.18746185302734,88.66045379638672,80.82492065429688,5.539632320404053,71.88203430175781,154.77175903320312,243.03134155273438,98.16217803955078,22.530000686645508,57.68174362182617,29.217973709106445,59.8893928527832
2018-01-12,41.43425750732422,126.95999908447266,56.069095611572266,115.95909881591797,90.12425994873047,82.21969604492188,5.512439727783203,71.45144653320312,155.90914916992188,244.61573791503906,98.32793426513672,22.4146671295166,57.215938568115234,29.466266632080078,60.29586410522461
2018-01-16,41.22369384765625,127.16999816894531,56.07156753540039,116.83421325683594,89.8042984008789,81.07268524169922,5.441487789154053,71.93785858154297,155.4636993408203,243.7794952392578,98.73853302001953,22.67066764831543,57.32509994506836,29.4136905670166,59.91695785522461
2018-01-17,41.9045524597168,126.13999938964844,56.488128662109375,116.92969512939453,90.38023376464844,82.7152328491211,5.555454254150391,72.71925354003906,157.14134216308594,246.10316467285156,98.6043472290039,23.143999099731445,57.72541046142578,30.000850677490234,60.626583099365234
2018-01-18,41.94200134277344,125.86000061035156,56.33291244506836,116.8819351196289,90.59622955322266,82.67853546142578,5.548532485961914,72.45413970947266,157.16978454589844,245.6895294189453,97.6883544921875,22.971332550048828,56.983036041259766,30.468257904052734,60.23387145996094
2018-01-19,41.75480651855469,126.41999816894531,56.706321716308594,117.23200225830078,90.39623260498047,82.5867691040039,5.688704013824463,73.16917419433594,157.66262817382812,246.8073272705078,97.17505645751953,23.334667205810547,57.28871536254883,30.552959442138672,60.040985107421875
2018-01-22,41.41320037841797,126.6500015258789,57.73085403442383,117.8525161743164,91.45209503173828,84.06414031982422,5.7772088050842285,73.82799530029297,159.34982299804688,248.81405639648438,97.2697982788086,23.437332153320312,57.812747955322266,30.804189682006836,60.79880905151367
2018-01-23,41.42257308959961,127.27999877929688,58.32643127441406,112.83261108398438,91.3561019897461,84.33023834228516,5.906256198883057,71.54624938964844,160.66726684570312,249.3422393798828,97.6883544921875,23.519332885742188,58.61338806152344,30.935644149780273,60.83323287963867
2018-01-24,40.762760162353516,128.8300018310547,58.084434509277344,113.02356719970703,92.52394104003906,84.2568588256836,5.829372406005859,70.95169067382812,159.6247100830078,249.24533081054688,97.15923309326172,23.05933380126953,58.30769729614258,30.903512954711914,60.99169921875
