Date,AAPL,MSFT,NVDA,SPY,TSLA
2019-01-02,37.50372314453125,94.39714050292969,3.376983404159546,224.38255310058594,20.674667358398438
2019-01-03,33.7680778503418,90.92447662353516,3.1729564666748047,219.02813720703125,20.02400016784668
2019-01-04,35.209617614746094,95.15331268310547,3.376239776611328,226.36460876464844,21.179332733154297
2019-01-07,35.13124084472656,95.27464294433594,3.5549800395965576,228.14942932128906,22.33066749572754
2019-01-08,35.80095672607422,95.96546173095703,3.466477870941162,230.2930145263672,22.356666564941406
2019-01-09,36.408912658691406,97.33769989013672,3.534651279449463,231.36929321289062,22.568666458129883
2019-01-10,36.52528762817383,96.71226501464844,3.600346803665161,232.1854248046875,22.99799919128418
2019-01-11,36.16668701171875,95.96546173095703,3.6895933151245117,232.275146484375,23.150667190551758
2019-01-14,35.622840881347656,95.26532745361328,3.729506731033325,230.85806274414062,22.293333053588867
2019-01-15,36.351924896240234,98.02851867675781,3.715376138687134,233.50384521484375,22.961999893188477
2019-01-16,36.79602813720703,98.37393188476562,3.6898412704467773,234.0688934326172,23.06999969482422
2019-01-17,37.01450729370117,99.06474304199219,3.7612390518188477,235.84471130371094,23.15399932861328
2019-01-18,37.24248504638672,100.54901885986328,3.8903980255126953,238.98377990722656,20.150667190551758
2019-01-22,36.40653610229492,98.65398406982422,3.6881070137023926,235.75502014160156,19.92799949645996
2019-01-23,36.55378723144531,99.6155014038086,3.7009975910186768,236.24827575683594,19.172666549682617
2019-01-24,36.264041900634766,99.139404296875,3.9129576683044434,236.3739013671875,19.43400001525879
2019-01-25,37.465736389160156,100.044921875,3.970223903656006,238.3739471435547,19.80266761779785
2019-01-28,37.118995666503906,98.09386444091797,3.421358823776245,236.5622100830078,19.7586669921875
2019-01-29,36.73426055908203,96.09616088867188,3.262450695037842,236.24827575683594,19.83066749572754
2019-01-30,39.2444953918457,99.30741882324219,3.4059884548187256,239.9883575439453,20.584667205810547
2019-01-31,39.52710723876953,97.48709869384766,3.56365704536438,242.09600830078125,20.468000411987305
2019-02-01,39.54609680175781,95.9468002319336,3.58795166015625,242.21266174316406,20.81399917602539
2019-02-04,40.66940689086914,98.7099838256836,3.698269844055176,243.91659545898438,20.859333038330078
2019-02-05,41.365238189697266,100.09160614013672,3.7173588275909424,244.93911743164062,21.42333221435547
2019-02-06,41.37950134277344,98.98072052001953,3.792970895767212,244.61624145507812,21.148000717163086
2019-02-07,40.59578323364258,98.271240234375,3.65463924407959,242.28431701660156,20.500667572021484
2019-02-08,40.64348602294922,98.64464569091797,3.6732311248779297,242.58033752441406,20.386667251586914
2019-02-11,40.409759521484375,98.2525634765625,3.630591869354248,242.71481323242188,20.856000900268555
2019-02-12,40.75797653198242,99.7835464477539,3.74760365486145,245.8360137939453,20.78733253479004
2019-02-13,40.588626861572266,99.70884704589844,3.7899959087371826,246.6342315673828,20.544666290283203
2019-02-14,40.73649978637695,99.79286193847656,3.8309006690979004,246.08714294433594,20.251333236694336
2019-02-15,40.645870208740234,101.02510070800781,3.900561809539795,248.76873779296875,20.525333404541016
