,precision,recall,f1-score,support
High,0.48148148148148145,0.43333333333333335,0.45614035087719296,30.0
Low,0.8181818181818182,0.823170731707317,0.8206686930091185,164.0
Medium,0.5925925925925926,0.6037735849056604,0.5981308411214953,106.0
accuracy,0.7066666666666667,0.7066666666666667,0.7066666666666667,0.7066666666666667
macro avg,0.6307519640852974,0.6200925499821035,0.624979961669269,300.0
weighted avg,0.7048035914702582,0.7066666666666667,0.7055858177956325,300.0
